house_index,bedrooms,property_type,property_subtype,locality,postal_code,street,number,box,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale
6996,3,HOUSE,VILLA,DESSELGEM,8792,,,,1,4,595000,0,1,,1,1,GOOD,0,0,0,572,200,572,
6999,4,HOUSE,VILLA,Nieuwpoort,8620,,,,0,,945000,0,1,,0,0,GOOD,0,0,1,1015,208,1015,
7002,2,APARTMENT,GROUND_FLOOR,Aalter,9880,Spijkerstraat,17,0B,1,2,339000,0,1,5,0,0,JUST_RENOVATED,1,100,0,,95,,
6998,5,HOUSE,VILLA,Schilde,2970,De Schietboog,104,,1,4,910000,0,1,,0,0,AS_NEW,1,1188,0,1620,326,1620,
7001,3,APARTMENT,APARTMENT,Jambes,5100,Avenue gouverneur bovesse,30,,1,2,329000,0,1,10,0,0,,0,0,0,,124,,
6997,7,HOUSE,EXCEPTIONAL_PROPERTY,Thimister-clermont,4890,Margensault,1,,0,4,899000,0,1,18,0,0,GOOD,1,1303,0,9866,470,9866,
7000,2,APARTMENT,APARTMENT,Molenbeek-Saint-Jean,1080,Boulevard Edmond Machtens,79,,1,2,220000,0,1,17,0,0,JUST_RENOVATED,0,0,0,,75,,
7004,1,APARTMENT,APARTMENT,BRUXELLES,1000,Rue Antoine Dansaert,200,,1,2,380000,0,1,4,0,0,,0,0,0,,85,,
7003,2,APARTMENT,APARTMENT,KNOKKE,8300,Elizabetlaan,181,,1,2,690000,0,1,,0,0,,0,0,0,,77,,
7006,2,APARTMENT,APARTMENT,Bredene,8450,Derbylaan,80,205,1,,229000,1,1,10,0,0,GOOD,0,0,1,,75,,
7012,4,HOUSE,VILLA,KORTRIJK,8500,Roggelaan,3,,1,4,550000,0,1,,1,1,,0,0,0,377,246,377,
7005,1,APARTMENT,FLAT_STUDIO,Gent,9000,Peerstraat,10,,1,,149000,0,0,0,0,0,AS_NEW,0,0,0,,33,,
7011,6,HOUSE,APARTMENT_BLOCK,MOLENBEEK-SAINT-JEAN,1080,Rue de la Sambre,4,,1,2,430000,0,1,20,0,0,TO_BE_DONE_UP,0,0,0,0,300,0,
7010,4,HOUSE,TOWN_HOUSE,Houffalize,6660,Rue de la Copette,37,,1,4,260000,0,1,,0,0,,0,0,0,780,215,780,
