house_index,bedrooms,property_type,property_subtype,locality,postal_code,street,number,box,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale
3,5,HOUSE,VILLA,Heverlee,3001,Sint-Jansbergsesteenweg,415,,1,,985000,0,1,,0,0,AS_NEW,0,0,0,10309,600,10309,
0,4,HOUSE,VILLA,LEMBEKE,9971,Gravin Madeleine d'Alcantaralaan,45,,1,4,667000,0,1,,1,1,TO_RENOVATE,0,0,0,8597,255,8597,
5,4,HOUSE,VILLA,Oedelem,8730,Egyptestraat,30,,0,4,995000,0,1,,1,1,GOOD,0,0,0,19168,300,19168,
6,9,HOUSE,HOUSE,Leuven,3000,Andreas Vesaliusstraat,41,,1,,2150000,1,1,,0,0,AS_NEW,0,0,0,145,250,145,
2,7,HOUSE,VILLA,DIEGEM,1831,Pieter Schroonsstraat,82,,1,4,895000,0,1,,0,0,GOOD,0,0,0,1788,310,1788,
4,3,HOUSE,VILLA,Dilbeek,1700,Lange Haagstraat,55,,0,4,995000,0,1,,0,0,AS_NEW,0,0,1,1558,293,1558,
7,3,HOUSE,HOUSE,Duffel,2570,Mijlstraat,8,,1,3,438000,0,1,40,0,0,GOOD,1,400,0,722,168,722,
1,6,HOUSE,HOUSE,Zottegem,9620,Rodestraat,126,,1,,795000,0,0,0,0,0,GOOD,0,0,0,2262,296,2262,
10,2,APARTMENT,APARTMENT,ANTWERPEN,2020,Vlaamsekunstlaan,74,V3,1,2,319000,0,1,3,0,0,GOOD,0,0,0,,,,
9,4,HOUSE,HOUSE,Liège,4000,Rue Auguste Donnay,55,,1,2,275000,0,1,5,0,0,TO_RENOVATE,1,100,0,192,207,192,
8,5,HOUSE,APARTMENT_BLOCK,Bruxelles,1000,Rue de la Cigogne,3,,1,2,695000,1,1,20,0,0,AS_NEW,0,0,0,230,230,230,
11,3,HOUSE,HOUSE,ANZEGEM,8570,Kapellestraat,37b,,1,3,325000,0,1,15,0,0,GOOD,1,125,0,196,140,196,
12,3,HOUSE,HOUSE,Hoeilaart,1560,Edgard Sohiestraat,16,,1,4,469000,0,1,17,0,0,TO_RENOVATE,0,0,0,1360,173,1360,
14,2,APARTMENT,APARTMENT,Oostende,8400,Karel Van de Woestijnestraat,1,0402,0,,219000,0,1,4,0,0,GOOD,0,0,0,,62,,
13,3,HOUSE,VILLA,Oostakker,9041,Venusschoentjestraat,13,,1,,795000,0,1,40,0,0,GOOD,1,1000,0,1000,308,1000,
15,2,APARTMENT,APARTMENT,Hasselt,3500,Plantenstraat,27,6,1,,295000,0,1,3,0,0,JUST_RENOVATED,0,0,0,,100,,
16,3,HOUSE,HOUSE,Seraing,4100,Rue Fanny,117,,1,2,236000,0,0,0,0,0,GOOD,1,160,0,284,131,284,
17,4,HOUSE,HOUSE,Ans,4430,Rue Bonne Nouvelle,57,,1,4,299000,0,1,6,0,0,GOOD,1,1629,0,2498,118,2498,
18,2,HOUSE,HOUSE,BORNEM,2880,Sint-Amandsesteenweg,281,,1,,340000,0,1,70,0,0,GOOD,0,0,0,287,187,287,
20,5,HOUSE,MIXED_USE_BUILDING,Laeken,1020,Avenue Houba de Strooper,787,,1,2,550000,0,1,5,0,0,TO_RENOVATE,0,0,0,194,425,194,
21,2,APARTMENT,APARTMENT,Ciney,5590,rue du Centre,17,B,1,2,147000,0,1,2,0,0,TO_RENOVATE,0,0,0,,72,,
19,4,HOUSE,HOUSE,Gent,9000,Schaliestraat,8,,0,2,345000,0,0,0,0,0,GOOD,1,38,0,108,145,108,
22,1,APARTMENT,APARTMENT,ANTWERPEN,2000,Jan van Gentstraat,29,V3,1,,190000,0,0,0,0,0,GOOD,0,0,0,,53,,
23,1,APARTMENT,GROUND_FLOOR,Ottignies-Louvain-la-Neuve,1348,Rue Charles de Loupoigne 9,-,1,1,2,199000,0,1,8,0,0,TO_BE_DONE_UP,1,124,0,,42,,
24,1,APARTMENT,APARTMENT,Etterbeek,1040,Avenue Nouvelle,33,,1,2,230000,0,1,12,0,0,TO_RENOVATE,1,50,0,,80,,
27,3,APARTMENT,APARTMENT,Ixelles,1050,Square De Biarritz - Biarritzsquare,4,,1,2,570000,0,1,15,0,0,GOOD,0,0,0,,122,,
26,3,APARTMENT,APARTMENT,Antwerpen,2000,Hoogstraat,36,301,0,,425000,0,1,28,0,0,AS_NEW,0,0,0,,126,,
25,2,APARTMENT,APARTMENT,Hooglede,8830,Leenbosstraat,2,C003,1,,289000,0,0,0,0,0,GOOD,1,22,0,,107,,
29,2,APARTMENT,APARTMENT,WALEM,2800,Koning Albertstraat,67,201,1,2,245000,0,1,12,0,0,AS_NEW,0,0,0,,78,,
28,3,HOUSE,HOUSE,WEVELGEM,8560,Guido Gezellestraat,14,,0,3,185000,0,0,0,0,0,TO_RENOVATE,1,544,0,870,100,870,
30,3,HOUSE,HOUSE,Gent,9000,Koekoeklaan,54,,1,,595000,0,1,,0,0,TO_BE_DONE_UP,1,320,0,406,221,406,
31,3,HOUSE,COUNTRY_COTTAGE,REBECQ-ROGNON,1430,"Chemin du Bois des Aulnes, 4",,,0,4,650000,0,1,40,0,0,,1,600,0,1315,300,1315,
32,3,HOUSE,COUNTRY_COTTAGE,STEENKERQUE,7090,"Chemin du Bois des Aulnes, 4",,,0,4,650000,0,1,40,0,0,,1,600,0,1315,300,1315,
35,2,HOUSE,HOUSE,NIVELLES,1400,Parvis Notre-Dame,22,,1,2,260000,0,1,30,0,0,GOOD,1,70,0,135,140,135,
36,3,HOUSE,HOUSE,Gavere,9890,Onderstraat,39,,1,2,459000,0,1,50,0,0,TO_BE_DONE_UP,1,179,0,309,430,309,
33,4,HOUSE,HOUSE,Woluwe-Saint-Pierre,1150,Rue au Bois,85,,1,2,670000,0,0,0,0,0,TO_RENOVATE,1,170,0,270,180,270,
34,5,HOUSE,VILLA,Kapelle-op-den-Bos,1880,Nachtegalenlaan,12,,0,4,794000,0,1,,0,0,AS_NEW,1,760,0,1194,235,1194,
37,1,APARTMENT,APARTMENT,SINT-NIKLAAS,9100,Koningin Fabiolapark,346,,1,,125000,0,1,10,0,0,TO_RENOVATE,0,0,0,,68,,
38,1,APARTMENT,APARTMENT,Westende,8434,Badenlaan,41,0202,0,,199500,1,1,,0,0,GOOD,0,0,0,,61,,
40,3,APARTMENT,APARTMENT,Houthalen,3530,Vredelaan,11,3.1,1,,295000,0,0,0,0,0,GOOD,0,0,0,,140,,
39,3,APARTMENT,APARTMENT,Oostende,8400,Torhoutsesteenweg,278,301,1,,269000,0,0,0,0,0,GOOD,0,0,0,,132,,
41,2,APARTMENT,APARTMENT,Middelkerke,8430,Prosper Poulletstraat,6,0301,0,,320000,1,1,,0,0,GOOD,0,0,0,,74,,
42,2,APARTMENT,APARTMENT,Ledeberg,9050,Jacques Eggermontstraat,83,,0,,399000,0,1,60,0,0,GOOD,0,0,0,,142,,
43,1,APARTMENT,APARTMENT,Bruxelles,1040,Rue du Commerce 73-75,73,,1,2,175000,0,0,0,0,0,TO_BE_DONE_UP,0,0,0,,40,,
44,2,APARTMENT,GROUND_FLOOR,MECHELEN,2800,Tervuursesteenweg,9,2,1,2,375000,0,1,7,0,0,GOOD,0,0,0,,94,,
46,2,HOUSE,HOUSE,WETTEREN,9230,Korte Bergstraat,41,,1,3,199500,0,1,45,0,0,GOOD,1,45,0,140,150,140,
45,3,APARTMENT,APARTMENT,Schaerbeek,1030,Rue Docteur Elie Lambotte,149,,1,2,399000,0,1,8,0,0,AS_NEW,0,0,0,,100,,
48,2,HOUSE,HOUSE,RONSE,9600,Hector Denisstraat,45,,1,2,285000,0,1,,0,0,GOOD,0,0,0,170,150,170,
49,8,HOUSE,APARTMENT_BLOCK,Liège,4020,Rue Paul Janson,75,,1,2,315000,0,1,21,0,0,GOOD,1,135,0,372,236,372,
50,3,HOUSE,HOUSE,JODOIGNE,1370,Elst,60,,1,3,349000,0,1,60,0,0,TO_RENOVATE,1,2575,0,2575,150,2575,
47,6,HOUSE,APARTMENT_BLOCK,Visé,4602,Rue Entre les Maisons,84,,1,2,230000,0,1,20,0,0,TO_BE_DONE_UP,1,7000,0,7326,234,7326,
52,3,HOUSE,HOUSE,Knokke-Zoute,8300,Schildeken,61,,1,3,1395000,0,1,,0,0,GOOD,0,0,0,465,164,465,
51,3,HOUSE,HOUSE,SLEIDINGE,9940,Eeksken,27,,1,4,579000,0,1,,0,0,GOOD,0,0,0,1485,285,1485,
53,3,HOUSE,HOUSE,Anzegem,8570,Zijptestraat,4,,1,3,420000,0,0,0,0,0,GOOD,1,270,0,497,175,497,
54,2,APARTMENT,APARTMENT,BERCHEM,2600,Lode Vissenaekenstraat,2,1v,1,3,235000,0,1,5,0,0,AS_NEW,0,0,0,,85,,
56,3,HOUSE,HOUSE,MECHELEN,2800,Nekkerspoelstraat,100,,1,2,209000,0,0,0,0,0,TO_RENOVATE,1,28,0,135,132,135,
55,3,HOUSE,HOUSE,Brakel,9660,Ronsesestraat,65,,0,,160000,0,0,0,0,0,TO_RENOVATE,0,0,0,337,138,337,
57,2,APARTMENT,APARTMENT,Drogenbos,1620,Avenue Paul Gilson,383,,1,3,245000,0,1,3,0,0,TO_BE_DONE_UP,0,0,0,,76,,
58,1,APARTMENT,APARTMENT,Burcht,2070,Dorpstraat,70,1,0,,255000,0,0,0,0,0,JUST_RENOVATED,0,0,0,,92,,
59,3,HOUSE,HOUSE,Putte,2580,Eksterstraat,2D,,1,,328000,0,1,,0,0,TO_RENOVATE,0,0,0,454,212,454,
61,3,HOUSE,HOUSE,Oosterzele,9860,Streekt,31,,0,3,199000,0,1,,0,0,TO_BE_DONE_UP,0,0,0,553,204,553,
60,3,HOUSE,HOUSE,Kortrijk,8500,Oudenaardsesteenweg,357,,1,2,164500,0,1,20,0,0,GOOD,1,40,0,94,120,94,
63,3,HOUSE,HOUSE,HOBOKEN,2660,Sint-Bernardsesteenweg,1132,,1,3,359000,0,1,22,0,0,AS_NEW,1,39,0,136,148,136,
64,2,HOUSE,MIXED_USE_BUILDING,Waremme,4300,Rue Hubert Stiernet,30,,1,2,250000,0,0,0,0,0,GOOD,0,0,0,376,411,376,
65,4,HOUSE,HOUSE,Drongen,9031,Varendrieskouter,24,,0,4,275000,0,0,0,0,0,TO_RENOVATE,1,407,0,407,117,407,
62,2,HOUSE,HOUSE,Sprimont,4140,Rue de Chanxhe,2,,1,3,215000,0,1,30,0,0,GOOD,1,1127,0,1300,164,1300,
66,3,HOUSE,HOUSE,Anderlecht,1070,Boulevard Jules Graindor,46,,1,2,399000,0,1,48,0,0,TO_RENOVATE,1,100,0,180,185,180,
69,4,HOUSE,HOUSE,Uccle,1180,Kinsendaelstraat,16,,1,2,595000,0,1,15,0,0,GOOD,1,30,0,110,171,110,
67,3,HOUSE,MIXED_USE_BUILDING,GERAARDSBERGEN,9500,Pirrestraat,17,,1,2,299999,0,1,,0,0,GOOD,1,895,0,1050,167,1050,
68,3,HOUSE,HOUSE,GERAARDSBERGEN,9500,Pirrestraat,17,,1,2,299999,0,1,,0,0,GOOD,1,895,0,1050,167,1050,
70,3,HOUSE,VILLA,Herentals,2200,Voortkapelseweg,81,,1,4,649000,0,1,,1,1,GOOD,0,0,0,1090,332,1090,
72,5,HOUSE,APARTMENT_BLOCK,Schaerbeek,1030,Rue Van Droogenbroeck,22,,1,2,375000,0,1,10,0,0,TO_BE_DONE_UP,1,30,0,100,200,100,
71,3,HOUSE,HOUSE,Flémalle,4400,Rue du Village,71,,1,2,265000,1,1,10,0,0,AS_NEW,1,50,0,145,135,145,
73,5,HOUSE,HOUSE,Schaerbeek,1030,Rue Van Droogenbroeck,22,,1,2,375000,0,1,10,0,0,TO_BE_DONE_UP,1,30,0,100,200,100,
75,5,HOUSE,MANSION,RONSE,9600,Ninovestraat,131,,1,4,695000,0,1,,0,0,AS_NEW,0,0,0,1919,428,1919,
77,2,APARTMENT,APARTMENT,Deinze,9800,Gentpoortstraat,66,6,1,,215000,0,1,,0,0,TO_RENOVATE,0,0,0,,99,,
74,5,HOUSE,MANSION,HOUTAING,7812,Rue d'Houtaing,27,,1,4,499000,0,1,40,0,0,GOOD,1,515,1,891,321,891,
76,1,APARTMENT,APARTMENT,GENT,9000,Johannes Schrantstraat,209,,1,,175000,0,1,6,0,0,GOOD,0,0,0,,35,,
78,2,APARTMENT,APARTMENT,Rumst,2840,Molenbergstraat,33,,1,,249500,0,1,37,0,0,GOOD,0,0,0,,115,,
80,2,APARTMENT,APARTMENT,Aalst (9300),9300,Leuvestraat,39,2,1,,269000,0,1,5,0,0,GOOD,0,0,0,,91,,
81,2,APARTMENT,APARTMENT,Erembodegem,9320,Leuvestraat,39,2,1,,269000,0,1,5,0,0,GOOD,0,0,0,,91,,
79,3,APARTMENT,APARTMENT,Sint-Niklaas,9100,Heidebloemstraat,109,,1,,265000,0,1,,0,0,JUST_RENOVATED,0,0,0,,108,,
84,2,APARTMENT,APARTMENT,Knokke,8300,Lippenslaan,179,2.1,1,,699000,1,1,7,0,0,GOOD,0,0,0,,102,,
82,2,APARTMENT,APARTMENT,Gent,9000,Ferdinand Lousbergskaai,112,,0,,340000,0,1,,0,0,GOOD,0,0,0,,72,,
85,3,APARTMENT,APARTMENT,Knokke-Zoute,8300,Hazenpad,1,14,1,3,1370000,1,1,,0,0,JUST_RENOVATED,0,0,0,,110,,
86,3,APARTMENT,APARTMENT,Knokke-Zoute,8300,Zeedijk,795,3.1,1,2,3850000,0,1,,0,0,GOOD,0,0,0,,182,,
83,2,APARTMENT,APARTMENT,Oostende,8400,Van Iseghemlaan,11,5°V,1,,359000,0,1,,0,0,JUST_RENOVATED,0,0,0,,89,,
87,3,HOUSE,HOUSE,Kessel-Lo,3010,Holsbeeksesteenweg,138,,1,,299000,0,1,,0,0,TO_RENOVATE,0,0,0,193,204,193,
88,3,HOUSE,HOUSE,Ronse,9600,Constantin Meunierstraat,44,,0,,315000,0,1,20,0,0,GOOD,1,320,0,393,195,393,
89,4,HOUSE,HOUSE,Duffel,2570,Kiliaanstraat,70,,0,2,345000,0,1,10,0,0,GOOD,0,0,0,175,160,175,
90,3,HOUSE,HOUSE,Gent,9000,Frank Baurstraat,44,,1,2,375000,0,0,0,0,0,TO_BE_DONE_UP,1,56,0,110,123,110,
91,3,HOUSE,HOUSE,Antwerpen,2170,Van Heybeeckstraat,14,,1,2,379000,0,0,0,0,0,GOOD,1,33,0,80,140,80,
94,4,HOUSE,HOUSE,Sint-Amandsberg,9040,Herlegemstraat,26,,0,,428000,0,1,,0,0,TO_BE_DONE_UP,0,0,0,170,185,170,
92,4,HOUSE,HOUSE,GREZ-DOICEAU,1390,Rue du Tilleul,23,,1,4,399000,0,1,25,1,1,TO_RENOVATE,1,1219,0,1219,200,1219,
96,3,APARTMENT,APARTMENT,Uccle,1180,Avenue Coghen,278,,1,3,475000,0,1,8,0,0,TO_BE_DONE_UP,0,0,0,,139,,
95,4,HOUSE,HOUSE,Destelbergen,9070,Herlegemstraat,26,,0,,428000,0,1,,0,0,TO_BE_DONE_UP,0,0,0,170,185,170,
97,1,APARTMENT,LOFT,Gent,9000,Dublinstraat,37,120,0,,745000,0,1,30,0,0,AS_NEW,0,0,0,,152,,
98,5,HOUSE,VILLA,MUIZEN,2812,Leuvensesteenweg,590 B,,1,4,883000,0,1,20,1,1,GOOD,1,423,0,3355,320,3355,
93,4,HOUSE,HOUSE,Gent,9000,Herlegemstraat,26,,0,,428000,0,1,,0,0,TO_BE_DONE_UP,0,0,0,170,185,170,
101,3,HOUSE,HOUSE,HERSELT,2230,Steenakkers,11,,1,4,584000,0,1,,0,0,GOOD,0,0,0,1050,245,1050,
103,5,HOUSE,HOUSE,Asse,1730,Putstraat,129,,1,,749000,0,1,,0,0,GOOD,0,0,0,1529,410,1529,
100,2,APARTMENT,APARTMENT,Oostende,8400,Vissersplein,2,0101,0,,419000,0,1,14,0,0,GOOD,0,0,0,,105,,
99,2,APARTMENT,APARTMENT,BERCHEM,2600,Fruithoflaan,8,302,1,,249000,0,1,10,0,0,TO_RENOVATE,0,0,0,,100,,
102,3,HOUSE,HOUSE,Kortrijk,8500,Brugsesteenweg,211,,1,2,289500,0,1,,0,0,GOOD,0,0,0,120,150,120,
104,5,HOUSE,HOUSE,Aalst (9300),9300,Putstraat,129,,1,,749000,0,1,,0,0,GOOD,0,0,0,1529,410,1529,
106,5,HOUSE,APARTMENT_BLOCK,Saint-Gilles,1060,Rue de Moscou,44,,1,2,795000,0,1,,0,0,AS_NEW,0,0,0,60,280,60,
105,5,HOUSE,HOUSE,Meldert (9310),9310,Putstraat,129,,1,,749000,0,1,,0,0,GOOD,0,0,0,1529,410,1529,
107,2,APARTMENT,APARTMENT,Hoevenen,2940,Olmenlaan,23.GLV,,1,,257000,0,1,50,0,0,GOOD,0,0,0,,80,,
108,2,APARTMENT,APARTMENT,ANTWERPEN,2060,Lange Dijkstraat,9,V1,1,2,279500,0,1,30,0,0,GOOD,0,0,0,,92,,
111,2,HOUSE,HOUSE,Tielt (8700),8700,Bruggestraat,79,,1,,235000,0,1,,0,0,GOOD,0,0,0,123,111,123,
110,2,APARTMENT,APARTMENT,Uccle,1180,Avenue du Lycée Français,8,,1,3,310000,0,1,12,0,0,TO_RENOVATE,0,0,0,,98,,
109,3,HOUSE,MANSION,Ronse,9600,Savooistraat,168,,1,4,580000,0,1,,0,0,GOOD,0,0,0,5219,210,5219,
112,2,HOUSE,HOUSE,Eeklo,9900,Euromarktstraat,6,,1,,320000,0,0,0,0,0,GOOD,0,0,0,512,165,512,
113,5,HOUSE,HOUSE,Maaseik,3680,Weertersteenweg,169,,1,,329000,0,0,0,0,0,JUST_RENOVATED,0,0,0,1612,192,1612,
114,3,HOUSE,HOUSE,Oostakker,9041,Honoré Drubbelstraat,46,,1,,349000,0,1,,0,0,TO_RENOVATE,0,0,0,402,155,402,
115,3,HOUSE,HOUSE,Asper,9890,Steenweg,130,,0,,389000,0,0,0,0,0,JUST_RENOVATED,1,178,0,493,262,493,
119,6,HOUSE,HOUSE,Tielt (8700),8700,Deken Darraslaan,9,,1,,1650000,0,0,0,0,0,GOOD,0,0,1,2723,493,2723,
116,4,HOUSE,VILLA,Roesbrugge-Haringe,8972,Prof.Rubbrechtstraat,70c,,1,,395000,0,1,,0,0,GOOD,0,0,0,927,227,927,
118,4,HOUSE,HOUSE,Oosterzele,9860,Meerstraat,47a,,1,3,895000,0,1,,0,0,AS_NEW,0,0,1,4844,205,4844,
117,4,HOUSE,VILLA,Wemmel,1780,Dijck,14,,1,4,649000,0,1,,0,0,TO_BE_DONE_UP,1,350,0,654,253,654,
122,2,APARTMENT,LOFT,AVELGEM,8580,Doorniksesteenweg,151,207,1,2,650000,0,1,,0,0,GOOD,0,0,0,,225,,
120,4,HOUSE,COUNTRY_COTTAGE,KUURNE,8520,Sint-Katriensteenweg,115,,1,4,735000,0,1,,0,0,TO_RENOVATE,0,0,0,12518,250,12518,
121,2,APARTMENT,APARTMENT,Gent Sint-Amandsberg,9040,Heiveldstraat,237,,1,3,325000,0,1,12,0,0,AS_NEW,0,0,0,,126,,
123,2,HOUSE,VILLA,MECHELEN,2800,LIERSESTEENWEG,460,,1,4,845000,0,1,20,0,0,GOOD,1,1488,0,8500,318,8500,
124,1,APARTMENT,APARTMENT,SAINT-NICOLAS,4420,Rue de la Libération,41,,1,3,99000,0,0,0,0,0,GOOD,0,0,0,,47,,
125,2,HOUSE,HOUSE,Lichtervelde,8810,Kortemarkstraat,19,,1,,195000,0,1,,0,0,TO_BE_DONE_UP,0,0,0,212,143,212,
127,4,HOUSE,HOUSE,Zottegem,9620,Grotenbergestraat,31,,0,,339000,0,0,0,0,0,TO_RENOVATE,0,0,0,416,184,416,
126,2,APARTMENT,APARTMENT,Vilvoorde,1800,Italiëlaan,2,,1,,295000,0,1,18,0,0,GOOD,0,0,0,,75,,
128,5,HOUSE,HOUSE,Libramont-Chevigny,6800,Rue de Saint-Hubert,54,,1,4,410000,0,1,,0,0,GOOD,1,1286,0,1286,247,1286,
130,4,HOUSE,HOUSE,Holsbeek,3221,Kriesberg,62,,0,4,690000,0,1,,1,1,GOOD,0,0,1,2581,289,2581,
132,2,APARTMENT,APARTMENT,Saint-Josse-ten-Noode,1210,Rue saint-alphonse,9,,1,2,165000,0,0,0,0,0,TO_RENOVATE,0,0,0,,62,,
133,2,HOUSE,HOUSE,Nieuwkerke,8950,Dranouterstraat,29,,1,2,179000,0,1,25,0,0,GOOD,1,254,0,392,85,392,
131,4,HOUSE,MANSION,Hasselt,3500,De Schiervellaan,33,,1,2,799000,0,1,,0,0,GOOD,0,0,0,165,352,165,
134,1,APARTMENT,DUPLEX,Forest,1190,Rue Pieter,14,,1,2,199000,0,0,0,0,0,TO_RENOVATE,0,0,0,,106,,
135,5,HOUSE,HOUSE,Blégny,4670,Rue Julien Ghuysen,11,,0,4,199000,0,0,0,0,0,TO_RENOVATE,1,269,0,568,246,568,
129,4,HOUSE,HOUSE,Knokke-Heist,8300,Sluisstraat,92,,0,4,575000,0,1,,0,0,GOOD,1,1255,0,1483,212,1483,
136,3,HOUSE,HOUSE,MUSSON,6750,Rue Marcel Niessen,60,,0,3,260000,0,1,,0,0,TO_BE_DONE_UP,0,0,0,998,183,998,
137,3,HOUSE,HOUSE,Zwevegem,8550,Monseigneur Callewaertlaan,22,,1,,299000,0,1,20,0,0,TO_RENOVATE,1,500,0,793,159,793,
139,3,APARTMENT,APARTMENT,ANTWERPEN 2018,2018,Mechelsesteenweg,201,,1,2,575000,0,1,15,0,0,JUST_RENOVATED,0,0,0,,200,,
140,6,HOUSE,APARTMENT_BLOCK,Anderlecht,1070,Rue Georges Moreau,87,,0,2,699000,0,0,0,0,0,GOOD,0,0,0,0,350,0,
138,3,HOUSE,HOUSE,Herzele,9550,Assestraat,22,,0,,315000,0,0,0,0,0,GOOD,0,0,0,250,216,250,
141,6,HOUSE,VILLA,Bassenge Roclengesur-Geer,4690,du Commerce,4,,1,4,1200000,0,1,,0,0,AS_NEW,0,0,1,3284,698,3284,
142,4,HOUSE,HOUSE,EKEREN,2180,Pastorijveld,69,,1,2,329000,0,1,10,0,0,JUST_RENOVATED,1,42,0,102,120,102,
143,6,HOUSE,HOUSE,Uccle,1180,Chaussée de Drogenbos,46,,1,3,950000,0,1,120,0,0,GOOD,1,240,0,661,294,661,
145,2,APARTMENT,APARTMENT,Berchem,2600,Neptunusstraat,1,1,1,3,265000,0,1,,0,0,GOOD,0,0,0,,94,,
146,2,APARTMENT,APARTMENT,NINOVE,9400,Geraardsbergsestraat,28,3,1,2,309000,0,1,6,0,0,JUST_RENOVATED,0,0,0,,81,,
148,2,APARTMENT,APARTMENT,Wenduine,8420,Kerkstraat,102,0401,1,,185000,1,0,0,0,0,,0,0,0,,65,,
147,2,APARTMENT,GROUND_FLOOR,Oostende,8400,Gistelsesteenweg,2,00.02,1,2,175000,0,1,20,0,0,GOOD,1,80,0,,69,,
144,2,APARTMENT,GROUND_FLOOR,Wondelgem,9032,Geelgorsstraat,50,,0,,219000,0,1,,0,0,GOOD,0,0,0,,85,,
149,2,APARTMENT,APARTMENT,Bruxelles,1120,Place Peter Benoit,15L,,0,3,249000,0,1,6,0,0,TO_BE_DONE_UP,0,0,0,,75,,
150,4,HOUSE,HOUSE,Arlon,6700,Markewee,1,,1,4,395000,0,1,20,0,0,TO_BE_DONE_UP,1,1200,0,1396,150,1396,
151,2,APARTMENT,APARTMENT,BERCHEM,2600,Flor Alpaertsstraat,6,13,1,,499000,0,1,106,1,1,GOOD,0,0,0,,161,,
152,2,APARTMENT,APARTMENT,Ixelles,1050,Avenue du Congo,16,,1,2,695000,0,1,,0,0,AS_NEW,0,0,0,,150,,
153,2,HOUSE,HOUSE,Liège,4020,Rue Basse-Wez,31,,1,2,115000,0,1,30,0,0,GOOD,0,0,0,55,77,55,
154,3,HOUSE,HOUSE,Courcelles,6180,Rue Wartonlieu,23,,0,3,159000,0,1,,0,0,TO_BE_DONE_UP,1,483,0,570,162,570,
156,2,HOUSE,HOUSE,Brugge,8000,Hoogstuk,28,,1,,279000,0,1,,0,0,GOOD,0,0,0,0,64,0,
158,4,HOUSE,HOUSE,Lievegem,9950,Hendrik Consciencelaan,37,,0,,398000,0,0,0,0,0,GOOD,0,0,0,480,206,480,
155,2,HOUSE,HOUSE,Rumst,2840,Molenbergstraat,33,,1,,249500,0,1,37,0,0,GOOD,0,0,0,0,115,0,
157,2,APARTMENT,APARTMENT,BRUXELLES,1000,Quai des Péniches,69,,1,4,365000,0,1,7,0,0,AS_NEW,0,0,1,,106,,
160,2,HOUSE,VILLA,Brakel,9660,Groenstraat,37,,0,,460000,0,0,0,0,0,AS_NEW,0,0,0,702,165,702,
162,2,APARTMENT,APARTMENT,Ixelles,1050,Rue du Buisson,4,,1,3,499000,0,0,0,0,0,TO_BE_DONE_UP,0,0,0,,150,,
163,5,HOUSE,HOUSE,Poperinge,8970,Komstraat,13,,0,3,539000,0,1,92,0,0,AS_NEW,1,690,0,1177,422,1177,
159,3,APARTMENT,APARTMENT,Ixelles,1050,Rue Emile Claus,47,,1,2,415000,0,1,,0,0,GOOD,0,0,0,,110,,
161,6,HOUSE,HOUSE,Namur,5000,Rue Chateau des Balances,10,,1,2,465000,0,1,13,0,0,JUST_RENOVATED,1,280,0,394,270,394,
164,3,HOUSE,HOUSE,Leuven,3000,'s-Hertogenwijngaard,59,,1,2,549000,0,0,0,0,0,GOOD,0,0,0,225,161,225,
165,4,HOUSE,VILLA,Edingen,7850,Wachthuisdreef,109,,0,4,845000,0,0,0,0,0,GOOD,0,0,0,3352,293,3352,
166,4,HOUSE,HOUSE,Bertrix,6880,Rue de Bernifa,19,D,1,3,49000,0,1,8,0,0,GOOD,1,52,0,167,145,167,
167,3,HOUSE,MIXED_USE_BUILDING,Grâce-Hollogne,4460,Rue Adrien Materne,72,,1,2,229000,0,1,8,0,0,AS_NEW,1,95,0,221,149,221,
169,3,HOUSE,VILLA,HOBOKEN,2660,Jan van de Wervelaan,39,,1,4,749000,0,0,0,0,0,AS_NEW,1,480,0,963,300,963,
170,0,APARTMENT,FLAT_STUDIO,Westende,8434,Koning Ridderdijk,44,0803,0,,168000,1,1,,0,0,JUST_RENOVATED,0,0,0,,33,,
168,3,HOUSE,HOUSE,LIEDEKERKE,1770,Muilenstraat,79,,1,2,299000,0,0,0,0,0,GOOD,0,0,0,151,118,151,
173,3,HOUSE,HOUSE,SINT-JANS-MOLENBEEK,1080,Scheldestraat,55,,1,2,349000,0,1,,0,0,TO_BE_DONE_UP,0,0,0,65,150,65,
171,2,APARTMENT,APARTMENT,Oostende,8400,Torhoutsesteenweg,2a,,1,,245000,0,1,1,0,0,,0,0,0,,87,,
172,2,HOUSE,HOUSE,Anseroeul,7750,Chemin du Crédit,17,,1,3,249000,0,1,,0,0,,0,0,0,770,150,770,
175,4,HOUSE,HOUSE,ARLON,6700,Laiperwee,8,,1,3,1120000,0,0,0,0,0,GOOD,0,0,0,5070,375,5070,
174,4,HOUSE,HOUSE,Stoumont,4987,Roua,61,,1,4,465000,0,1,60,1,1,AS_NEW,1,1662,0,1821,386,1821,
176,3,HOUSE,HOUSE,Grez-Doiceau,1390,Avenue Félix Lacourt,191,,1,4,449000,0,1,,0,0,JUST_RENOVATED,0,0,0,800,157,800,
177,1,APARTMENT,APARTMENT,Temse,9140,Sint-Amelbergalaan,64,,1,,239000,0,1,,0,0,JUST_RENOVATED,0,0,0,,85,,
178,2,HOUSE,HOUSE,Ronse,9600,Jacob van Arteveldestraat,12,,0,,139000,0,0,0,0,0,GOOD,0,0,0,380,105,380,
