house_index,url,bedrooms,property_type,property_subtype,locality,postal_code,street,number,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale
1270,https://www.immoweb.be/en/classified/bungalow/for-sale/affligem/1790/20309557,3,HOUSE,BUNGALOW,Affligem,1790,Fosselstraat,52,1,4,465000,0,1,,0,0,AS_NEW,0,0,0,647,285,647,
1273,https://www.immoweb.be/en/classified/house/for-sale/aartselaar/2630/20292147,4,HOUSE,HOUSE,AARTSELAAR,2630,Adriaan Sanderslei,32,1,,327500,0,0,0,0,0,TO_RENOVATE,0,0,0,162,184,162,
1275,https://www.immoweb.be/en/classified/house/for-sale/keerbergen/3140/20292135,3,HOUSE,HOUSE,Keerbergen,3140,Emiel opdebeecklaan,54,0,4,995000,0,1,,0,0,GOOD,0,0,1,1504,378,1504,
1277,https://www.immoweb.be/en/classified/house/for-sale/hombeek/2811/20272818,3,HOUSE,HOUSE,Hombeek,2811,Heike,33,1,3,340000,0,0,0,0,0,GOOD,1,135,0,288,140,288,
1276,https://www.immoweb.be/en/classified/apartment/for-sale/oudegem/9200/20264359,2,APARTMENT,APARTMENT,OUDEGEM,9200,Oudegemse baan,183,1,,199000,0,1,7,0,0,GOOD,0,0,0,,85,,
1274,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20309590,2,APARTMENT,APARTMENT,Knokke-Heist,8300,Meerminlaan,2,1,2,640000,0,1,,0,0,AS_NEW,0,0,0,,79,,
1278,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20278927,2,APARTMENT,APARTMENT,Gent,9000,Gustaaf Callierlaan,298,0,,360000,0,1,,0,0,TO_BE_DONE_UP,0,0,0,,80,,
1280,https://www.immoweb.be/en/classified/house/for-sale/liege/4000/20320713,4,HOUSE,HOUSE,Liège,4000,Rue Sainte Marguerite,305,1,2,165000,0,1,15,0,0,TO_BE_DONE_UP,1,35,0,0,150,0,
1282,https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/20321897,2,HOUSE,HOUSE,Geraardsbergen,9500,Alfonslaan,51,1,3,199000,0,1,,0,0,TO_RENOVATE,0,0,0,811,100,811,
1279,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4031/20312956,2,APARTMENT,APARTMENT,Liège,4031,Quai Des Ardennes,133,1,1,259000,0,0,0,0,0,AS_NEW,0,0,0,,99,,
1281,https://www.immoweb.be/en/classified/house/for-sale/ans/4430/20319860,2,HOUSE,HOUSE,Ans,4430,Rue Emile Vandervelde,81,0,3,194000,0,1,,0,0,GOOD,0,0,0,184,132,184,
1284,https://www.immoweb.be/en/classified/house/for-sale/kaprijke/9971/20320514,3,HOUSE,HOUSE,Kaprijke,9971,Nieuwstraat,12,0,3,332000,0,1,15,0,0,AS_NEW,0,0,0,126,125,126,
1283,https://www.immoweb.be/en/classified/house/for-sale/monceau-imbrechies/6592/20322815,5,HOUSE,HOUSE,Monceau-imbrechies,6592,Le Fourneau,3,0,3,240000,0,1,,0,0,GOOD,1,762,0,959,279,959,
1285,https://www.immoweb.be/en/classified/house/for-sale/brugge/8000/20321230,2,HOUSE,HOUSE,Brugge,8000,Sint-Gillisdorpstraat,27,0,2,369000,0,1,,0,0,AS_NEW,0,0,0,78,87,78,
1286,https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/20318697,4,HOUSE,HOUSE,Anderlecht,1070,,,1,2,450000,0,1,15,0,0,AS_NEW,1,110,0,0,168,0,
1287,https://www.immoweb.be/en/classified/apartment-block/for-sale/schaerbeek/1030/20317607,5,HOUSE,APARTMENT_BLOCK,Schaerbeek,1030,,,1,2,675000,0,1,10,0,0,TO_RENOVATE,1,50,0,142,274,142,
1290,https://www.immoweb.be/en/classified/house/for-sale/nieuwpoort/8620/20278055,3,HOUSE,HOUSE,Nieuwpoort,8620,Kaai,13,1,,695000,0,1,,0,0,GOOD,0,0,0,224,,224,
1288,https://www.immoweb.be/en/classified/house/for-sale/rixensart/1330/20320565,6,HOUSE,HOUSE,Rixensart,1330,,,1,4,1175000,0,1,,0,0,GOOD,0,0,1,1008,290,1008,
1289,https://www.immoweb.be/en/classified/apartment/for-sale/seraing/4100/20297495,2,APARTMENT,APARTMENT,Seraing,4100,Rue de Rotheux,327,1,2,190000,0,0,0,0,0,TO_BE_DONE_UP,0,0,0,,91,,
1294,https://www.immoweb.be/en/classified/house/for-sale/brugge/8000/20313710,3,HOUSE,HOUSE,Brugge,8000,Moerkerkestraat,54,0,4,239000,0,1,,0,0,AS_NEW,0,0,0,61,,61,
1291,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/20272039,4,HOUSE,HOUSE,Wezembeek-Oppem,1970,Avenue de la Forêt  16 Woudlaan,-,1,3,855000,0,1,,0,0,AS_NEW,0,0,0,372,214,372,
1292,https://www.immoweb.be/en/classified/villa/for-sale/mouscron/7700/20257266,4,HOUSE,VILLA,Mouscron,7700,Rue du Gibet,17,1,4,995000,0,1,,1,1,AS_NEW,1,1000,0,1899,277,1899,
1293,https://www.immoweb.be/en/classified/duplex/for-sale/villers-le-bouillet/4530/20265235,2,APARTMENT,DUPLEX,Villers-le-Bouillet,4530,Rue de Waremme,12,0,2,225000,0,1,,0,0,,0,0,0,,95,,
1296,https://www.immoweb.be/en/classified/house/for-sale/auderghem/1160/20315547,2,HOUSE,HOUSE,Auderghem,1160,,,1,4,370000,0,1,24,0,0,,0,0,0,125,100,125,
1295,https://www.immoweb.be/en/classified/house/for-sale/ninove/9400/20312156,3,HOUSE,HOUSE,Ninove,9400,Valleistraat,75,1,2,349900,0,1,,0,0,,0,0,0,2152,198,2152,
1297,https://www.immoweb.be/en/classified/house/for-sale/vilvoorde/1800/20314820,4,HOUSE,HOUSE,Vilvoorde,1800,Benoit Hanssenslaan,19,1,2,599000,0,1,14,0,0,TO_BE_DONE_UP,1,150,0,0,202,0,
1298,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/anderlecht/1070/20314819,3,HOUSE,MIXED_USE_BUILDING,Anderlecht,1070,Chaussée de Mons,34,1,2,769000,0,0,0,0,0,TO_BE_DONE_UP,0,0,0,0,142,0,
1299,https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/20312295,4,HOUSE,HOUSE,Knokke-Heist,8300,,,0,,2595000,0,1,,0,0,GOOD,0,0,0,751,201,751,
1301,https://www.immoweb.be/en/classified/country-cottage/for-sale/yvoir/5530/20297745,2,HOUSE,COUNTRY_COTTAGE,Yvoir,5530,Parc Résidentiel La Gayolle,443,0,,99000,1,1,16,0,0,JUST_RENOVATED,1,262,0,262,40,262,
1302,https://www.immoweb.be/en/classified/house/for-sale/yvoir/5530/20297665,2,HOUSE,HOUSE,Yvoir,5530,Gayolle,244,0,,120000,0,1,10,0,0,GOOD,0,0,0,200,60,200,
1300,https://www.immoweb.be/en/classified/villa/for-sale/uccle/1180/20315380,5,HOUSE,VILLA,Uccle,1180,,,1,4,4250000,0,1,,0,0,AS_NEW,0,0,1,2736,750,2736,
1306,https://www.immoweb.be/en/classified/house/for-sale/de-pinte/9840/20295233,3,HOUSE,HOUSE,De Pinte,9840,Pont-Noord,57,1,3,255000,0,1,,0,0,TO_BE_DONE_UP,0,0,0,381,118,381,
1304,https://www.immoweb.be/en/classified/house/for-sale/liege-chenee/4032/20296348,3,HOUSE,HOUSE,Liège Chênée,4032,Rue de la Révision,175,1,3,205000,0,1,27,0,0,GOOD,1,86,0,212,106,212,
1303,https://www.immoweb.be/en/classified/country-cottage/for-sale/hastiere/5540/20297738,1,HOUSE,COUNTRY_COTTAGE,Hastière,5540,Les Journaux,80,0,,140000,0,1,22,1,1,GOOD,1,255,0,255,42,255,
1305,https://www.immoweb.be/en/classified/house/for-sale/stekene/9190/20299707,2,HOUSE,HOUSE,STEKENE,9190,Nieuwstraat,54,1,2,205000,0,0,0,0,0,TO_RENOVATE,0,0,0,302,,302,
1309,https://www.immoweb.be/en/classified/house/for-sale/liedekerke/1770/20297601,4,HOUSE,HOUSE,Liedekerke,1770,Seringenlaan,4,1,4,399000,0,1,,0,0,GOOD,0,0,0,732,160,732,
1310,https://www.immoweb.be/en/classified/villa/for-sale/rhode-saint-genese/1640/20296142,3,HOUSE,VILLA,Rhode-Saint-Genèse,1640,Avenue des Cèdres,11,0,4,745000,0,0,0,0,0,AS_NEW,0,0,0,700,176,700,
1307,https://www.immoweb.be/en/classified/house/for-sale/brugge/8000/20297019,2,HOUSE,HOUSE,Brugge,8000,Baliestraat,46,1,,278000,0,1,,0,0,GOOD,0,0,0,0,,0,
1308,https://www.immoweb.be/en/classified/house/for-sale/aartselaar/2630/20297474,2,HOUSE,HOUSE,Aartselaar,2630,Pierstraat,38,0,3,325000,0,1,20,0,0,,1,270,0,437,182,437,
1311,https://www.immoweb.be/en/classified/house/for-sale/dilbeek/1700/20295428,5,HOUSE,HOUSE,Dilbeek,1700,Dr. J. Appelmanslaan,70,1,4,749000,0,1,75,0,0,GOOD,0,0,0,700,235,700,
1312,https://www.immoweb.be/en/classified/house/for-sale/zerkegem/8490/20265602,4,HOUSE,HOUSE,ZERKEGEM,8490,Tulpenlaan,1,1,4,399000,0,1,,0,0,GOOD,0,0,0,822,209,822,
1314,https://www.immoweb.be/en/classified/house/for-sale/amay/4540/11141764,2,HOUSE,HOUSE,Amay,4540,Grand route,119,1,3,79000,0,1,,0,0,TO_RENOVATE,0,0,0,207,116,207,
1313,https://www.immoweb.be/en/classified/house/for-sale/tremelo/3120/20296804,4,HOUSE,HOUSE,Tremelo,3120,Baalsebaan,108,1,4,659000,0,1,55,0,0,JUST_RENOVATED,1,1060,0,1367,223,1367,
1319,https://www.immoweb.be/en/classified/house/for-sale/kontich/2550/11422925,3,HOUSE,HOUSE,KONTICH,2550,Ooststatiestraat,55,1,3,140000,0,0,0,0,0,TO_RENOVATE,0,0,0,70,109,70,
1316,https://www.immoweb.be/en/classified/house/for-sale/huy/4500/20250360,4,HOUSE,HOUSE,HUY,4500,Rue de Statte,28,1,2,129000,0,1,30,0,0,GOOD,1,1600,0,1600,172,1600,
1315,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20178082,2,HOUSE,HOUSE,Seraing,4100,Place de la Chatqueue,14,1,2,99000,0,0,0,0,0,TO_BE_DONE_UP,1,55,0,150,190,150,
1317,https://www.immoweb.be/en/classified/house/for-sale/fize-fontaine/4530/20254477,1,HOUSE,HOUSE,FIZE-FONTAINE,4530,Rue le Marais,70,1,2,129000,0,1,20,0,0,JUST_RENOVATED,1,98,0,240,105,240,
1318,https://www.immoweb.be/en/classified/house/for-sale/jupille-sur-meuse/4020/10770690,2,HOUSE,HOUSE,Jupille-sur-meuse,4020,Rue de Fléron,83,1,3,135000,0,0,0,0,0,TO_BE_DONE_UP,1,30,0,87,76,87,
1321,https://www.immoweb.be/en/classified/house/for-sale/koekelare/8680/20317763,4,HOUSE,HOUSE,Koekelare,8680,Lekestraat,82,0,3,355000,0,1,,0,0,AS_NEW,0,0,0,1083,216,1083,
1320,https://www.immoweb.be/en/classified/house/for-sale/gerpinnes/6280/20320615,4,HOUSE,HOUSE,GERPINNES,6280,Rue de Bertransart,27,1,4,325000,0,0,0,0,0,GOOD,0,0,0,0,135,0,
1322,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20316692,3,HOUSE,HOUSE,Gent,9000,Dampoortstraat,80,0,2,540000,0,0,0,0,0,GOOD,0,0,0,102,239,102,
1325,https://www.immoweb.be/en/classified/house/for-sale/brugge/8000/20315865,8,HOUSE,HOUSE,Brugge,8000,Sint-Annarei,3,0,,795000,0,0,0,0,0,TO_RENOVATE,0,0,0,160,386,160,
1324,https://www.immoweb.be/en/classified/house/for-sale/hoogstraten/2328/20319029,4,HOUSE,HOUSE,Hoogstraten,2328,Groot Eyssel,63,0,4,749000,0,0,0,0,0,AS_NEW,0,0,0,9756,321,9756,
1323,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/petegem-aan-de-leie/9800/20319488,0,HOUSE,MIXED_USE_BUILDING,PETEGEM-AAN-DE-LEIE,9800,,,1,2,550000,0,0,0,0,0,GOOD,1,70,0,328,157,328,
1327,https://www.immoweb.be/en/classified/apartment/for-sale/latour/6761/20296108,2,APARTMENT,APARTMENT,Latour,6761,Rue de la Vire,66,1,2,135000,0,0,0,0,0,GOOD,0,0,0,,135,,
1326,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/20317753,6,HOUSE,HOUSE,Woluwe-Saint-Pierre,1150,,,1,2,960000,0,1,,0,0,TO_BE_DONE_UP,1,130,0,300,422,300,
1329,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20294137,2,APARTMENT,APARTMENT,Gent,9000,Hogeweg,191,1,2,185000,0,1,10,0,0,TO_RENOVATE,0,0,0,,100,,
1328,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20294138,2,APARTMENT,APARTMENT,Gent,9000,Hogeweg,181,1,2,185000,0,1,10,0,0,TO_RENOVATE,0,0,0,,100,,
