house_index,url,bedrooms,property_type,property_subtype,locality,postal_code,street,number,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale
0,https://www.immoweb.be/en/classified/villa/for-sale/lembeke/9971/20322195,4,HOUSE,VILLA,LEMBEKE,9971,Gravin Madeleine d'Alcantaralaan,45,1,4,667000,0,1,,1,1,TO_RENOVATE,0,0,0,8597,255,8597,
2,https://www.immoweb.be/en/classified/villa/for-sale/diegem/1831/20322653,7,HOUSE,VILLA,DIEGEM,1831,Pieter Schroonsstraat,82,1,4,895000,0,1,,0,0,GOOD,0,0,0,1788,310,1788,
1,https://www.immoweb.be/en/classified/house/for-sale/zottegem/9620/20318979,6,HOUSE,HOUSE,Zottegem,9620,Rodestraat,126,1,,795000,0,0,0,0,0,GOOD,0,0,0,2262,296,2262,
6,https://www.immoweb.be/en/classified/house/for-sale/leuven/3000/20322400,9,HOUSE,HOUSE,Leuven,3000,Andreas Vesaliusstraat,41,1,,2150000,1,1,,0,0,AS_NEW,0,0,0,145,250,145,
7,https://www.immoweb.be/en/classified/house/for-sale/duffel/2570/20304337,3,HOUSE,HOUSE,Duffel,2570,Mijlstraat,8,1,3,438000,0,1,40,0,0,GOOD,1,400,0,722,168,722,
5,https://www.immoweb.be/en/classified/villa/for-sale/oedelem/8730/20321706,4,HOUSE,VILLA,Oedelem,8730,Egyptestraat,30,0,4,995000,0,1,,1,1,GOOD,0,0,0,19168,300,19168,
3,https://www.immoweb.be/en/classified/villa/for-sale/heverlee/3001/20322383,5,HOUSE,VILLA,Heverlee,3001,Sint-Jansbergsesteenweg,415,1,,985000,0,1,,0,0,AS_NEW,0,0,0,10309,600,10309,
4,https://www.immoweb.be/en/classified/villa/for-sale/dilbeek/1700/20317875,3,HOUSE,VILLA,Dilbeek,1700,Lange Haagstraat,55,0,4,995000,0,1,,0,0,AS_NEW,0,0,1,1558,293,1558,
9,https://www.immoweb.be/en/classified/house/for-sale/liege/4000/20311625,4,HOUSE,HOUSE,Liège,4000,Rue Auguste Donnay,55,1,2,275000,0,1,5,0,0,TO_RENOVATE,1,100,0,192,207,192,
8,https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/20301351,5,HOUSE,APARTMENT_BLOCK,Bruxelles,1000,Rue de la Cigogne,3,1,2,695000,1,1,20,0,0,AS_NEW,0,0,0,230,230,230,
11,https://www.immoweb.be/en/classified/house/for-sale/anzegem/8570/20312906,3,HOUSE,HOUSE,ANZEGEM,8570,Kapellestraat,37b,1,3,325000,0,1,15,0,0,GOOD,1,125,0,196,140,196,
10,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2020/20313035,2,APARTMENT,APARTMENT,ANTWERPEN,2020,Vlaamsekunstlaan,74,1,2,319000,0,1,3,0,0,GOOD,0,0,0,,,,
13,https://www.immoweb.be/en/classified/villa/for-sale/oostakker/9041/20310520,3,HOUSE,VILLA,Oostakker,9041,Venusschoentjestraat,13,1,,795000,0,1,40,0,0,GOOD,1,1000,0,1000,308,1000,
15,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/20305476,2,APARTMENT,APARTMENT,Hasselt,3500,Plantenstraat,27,1,,295000,0,1,3,0,0,JUST_RENOVATED,0,0,0,,100,,
14,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20305572,2,APARTMENT,APARTMENT,Oostende,8400,Karel Van de Woestijnestraat,1,0,,219000,0,1,4,0,0,GOOD,0,0,0,,62,,
12,https://www.immoweb.be/en/classified/house/for-sale/hoeilaart/1560/20313977,3,HOUSE,HOUSE,Hoeilaart,1560,Edgard Sohiestraat,16,1,4,469000,0,1,17,0,0,TO_RENOVATE,0,0,0,1360,173,1360,
17,https://www.immoweb.be/en/classified/house/for-sale/ans/4430/20308645,4,HOUSE,HOUSE,Ans,4430,Rue Bonne Nouvelle,57,1,4,299000,0,1,6,0,0,GOOD,1,1629,0,2498,118,2498,
16,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20307226,3,HOUSE,HOUSE,Seraing,4100,Rue Fanny,117,1,2,236000,0,0,0,0,0,GOOD,1,160,0,284,131,284,
19,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20307640,4,HOUSE,HOUSE,Gent,9000,Schaliestraat,8,0,2,345000,0,0,0,0,0,GOOD,1,38,0,108,145,108,
20,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/laeken/1020/20309360,5,HOUSE,MIXED_USE_BUILDING,Laeken,1020,Avenue Houba de Strooper,787,1,2,550000,0,1,5,0,0,TO_RENOVATE,0,0,0,194,425,194,
18,https://www.immoweb.be/en/classified/house/for-sale/bornem/2880/20309260,2,HOUSE,HOUSE,BORNEM,2880,Sint-Amandsesteenweg,281,1,,340000,0,1,70,0,0,GOOD,0,0,0,287,187,287,
22,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20321664,1,APARTMENT,APARTMENT,ANTWERPEN,2000,Jan van Gentstraat,29,1,,190000,0,0,0,0,0,GOOD,0,0,0,,53,,
21,https://www.immoweb.be/en/classified/apartment/for-sale/ciney/5590/20321000,2,APARTMENT,APARTMENT,Ciney,5590,rue du Centre,17,1,2,147000,0,1,2,0,0,TO_RENOVATE,0,0,0,,72,,
24,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20321835,1,APARTMENT,APARTMENT,Etterbeek,1040,Avenue Nouvelle,33,1,2,230000,0,1,12,0,0,TO_RENOVATE,1,50,0,,80,,
23,https://www.immoweb.be/en/classified/ground-floor/for-sale/ottignies-louvain-la-neuve/1348/20322186,1,APARTMENT,GROUND_FLOOR,Ottignies-Louvain-la-Neuve,1348,Rue Charles de Loupoigne 9,-,1,2,199000,0,1,8,0,0,TO_BE_DONE_UP,1,124,0,,42,,
25,https://www.immoweb.be/en/classified/apartment/for-sale/hooglede/8830/20321468,2,APARTMENT,APARTMENT,Hooglede,8830,Leenbosstraat,2,1,,289000,0,0,0,0,0,GOOD,1,22,0,,107,,
28,https://www.immoweb.be/en/classified/house/for-sale/wevelgem/8560/20319524,3,HOUSE,HOUSE,WEVELGEM,8560,Guido Gezellestraat,14,0,3,185000,0,0,0,0,0,TO_RENOVATE,1,544,0,870,100,870,
26,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20322540,3,APARTMENT,APARTMENT,Antwerpen,2000,Hoogstraat,36,0,,425000,0,1,28,0,0,AS_NEW,0,0,0,,126,,
27,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20293996,3,APARTMENT,APARTMENT,Ixelles,1050,Square De Biarritz - Biarritzsquare,4,1,2,570000,0,1,15,0,0,GOOD,0,0,0,,122,,
29,https://www.immoweb.be/en/classified/apartment/for-sale/walem/2800/20295309,2,APARTMENT,APARTMENT,WALEM,2800,Koning Albertstraat,67,1,2,245000,0,1,12,0,0,AS_NEW,0,0,0,,78,,
32,https://www.immoweb.be/en/classified/country-cottage/for-sale/steenkerque/7090/20317953,3,HOUSE,COUNTRY_COTTAGE,STEENKERQUE,7090,"Chemin du Bois des Aulnes, 4",,0,4,650000,0,1,40,0,0,,1,600,0,1315,300,1315,
30,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20315041,3,HOUSE,HOUSE,Gent,9000,Koekoeklaan,54,1,,595000,0,1,,0,0,TO_BE_DONE_UP,1,320,0,406,221,406,
31,https://www.immoweb.be/en/classified/country-cottage/for-sale/rebecq-rognon/1430/20319150,3,HOUSE,COUNTRY_COTTAGE,REBECQ-ROGNON,1430,"Chemin du Bois des Aulnes, 4",,0,4,650000,0,1,40,0,0,,1,600,0,1315,300,1315,
33,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/20315503,4,HOUSE,HOUSE,Woluwe-Saint-Pierre,1150,Rue au Bois,85,1,2,670000,0,0,0,0,0,TO_RENOVATE,1,170,0,270,180,270,
35,https://www.immoweb.be/en/classified/house/for-sale/nivelles/1400/20310553,2,HOUSE,HOUSE,NIVELLES,1400,Parvis Notre-Dame,22,1,2,260000,0,1,30,0,0,GOOD,1,70,0,135,140,135,
36,https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/20310291,3,HOUSE,HOUSE,Gavere,9890,Onderstraat,39,1,2,459000,0,1,50,0,0,TO_BE_DONE_UP,1,179,0,309,430,309,
37,https://www.immoweb.be/en/classified/apartment/for-sale/sint-niklaas/9100/20315651,1,APARTMENT,APARTMENT,SINT-NIKLAAS,9100,Koningin Fabiolapark,346,1,,125000,0,1,10,0,0,TO_RENOVATE,0,0,0,,68,,
38,https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/20311522,1,APARTMENT,APARTMENT,Westende,8434,Badenlaan,41,0,,199500,1,1,,0,0,GOOD,0,0,0,,61,,
39,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20312801,3,APARTMENT,APARTMENT,Oostende,8400,Torhoutsesteenweg,278,1,,269000,0,0,0,0,0,GOOD,0,0,0,,132,,
40,https://www.immoweb.be/en/classified/apartment/for-sale/houthalen/3530/20314612,3,APARTMENT,APARTMENT,Houthalen,3530,Vredelaan,11,1,,295000,0,0,0,0,0,GOOD,0,0,0,,140,,
34,https://www.immoweb.be/en/classified/villa/for-sale/kapelle-op-den-bos/1880/20316272,5,HOUSE,VILLA,Kapelle-op-den-Bos,1880,Nachtegalenlaan,12,0,4,794000,0,1,,0,0,AS_NEW,1,760,0,1194,235,1194,
41,https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8430/20313532,2,APARTMENT,APARTMENT,Middelkerke,8430,Prosper Poulletstraat,6,0,,320000,1,1,,0,0,GOOD,0,0,0,,74,,
42,https://www.immoweb.be/en/classified/apartment/for-sale/ledeberg/9050/20312839,2,APARTMENT,APARTMENT,Ledeberg,9050,Jacques Eggermontstraat,83,0,,399000,0,1,60,0,0,GOOD,0,0,0,,142,,
43,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1040/20308983,1,APARTMENT,APARTMENT,Bruxelles,1040,Rue du Commerce 73-75,73,1,2,175000,0,0,0,0,0,TO_BE_DONE_UP,0,0,0,,40,,
46,https://www.immoweb.be/en/classified/house/for-sale/wetteren/9230/20317251,2,HOUSE,HOUSE,WETTEREN,9230,Korte Bergstraat,41,1,3,199500,0,1,45,0,0,GOOD,1,45,0,140,150,140,
45,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20308527,3,APARTMENT,APARTMENT,Schaerbeek,1030,Rue Docteur Elie Lambotte,149,1,2,399000,0,1,8,0,0,AS_NEW,0,0,0,,100,,
44,https://www.immoweb.be/en/classified/ground-floor/for-sale/mechelen/2800/20309622,2,APARTMENT,GROUND_FLOOR,MECHELEN,2800,Tervuursesteenweg,9,1,2,375000,0,1,7,0,0,GOOD,0,0,0,,94,,
47,https://www.immoweb.be/en/classified/apartment-block/for-sale/vise/4602/20313682,6,HOUSE,APARTMENT_BLOCK,Visé,4602,Rue Entre les Maisons,84,1,2,230000,0,1,20,0,0,TO_BE_DONE_UP,1,7000,0,7326,234,7326,
48,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/20316554,2,HOUSE,HOUSE,RONSE,9600,Hector Denisstraat,45,1,2,285000,0,1,,0,0,GOOD,0,0,0,170,150,170,
51,https://www.immoweb.be/en/classified/house/for-sale/sleidinge/9940/20315700,3,HOUSE,HOUSE,SLEIDINGE,9940,Eeksken,27,1,4,579000,0,1,,0,0,GOOD,0,0,0,1485,285,1485,
49,https://www.immoweb.be/en/classified/apartment-block/for-sale/liege/4020/20312266,8,HOUSE,APARTMENT_BLOCK,Liège,4020,Rue Paul Janson,75,1,2,315000,0,1,21,0,0,GOOD,1,135,0,372,236,372,
50,https://www.immoweb.be/en/classified/house/for-sale/jodoigne/1370/20317090,3,HOUSE,HOUSE,JODOIGNE,1370,Elst,60,1,3,349000,0,1,60,0,0,TO_RENOVATE,1,2575,0,2575,150,2575,
54,https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20305843,2,APARTMENT,APARTMENT,BERCHEM,2600,Lode Vissenaekenstraat,2,1,3,235000,0,1,5,0,0,AS_NEW,0,0,0,,85,,
52,https://www.immoweb.be/en/classified/house/for-sale/knokke-zoute/8300/20312236,3,HOUSE,HOUSE,Knokke-Zoute,8300,Schildeken,61,1,3,1395000,0,1,,0,0,GOOD,0,0,0,465,164,465,
53,https://www.immoweb.be/en/classified/house/for-sale/anzegem/8570/20309744,3,HOUSE,HOUSE,Anzegem,8570,Zijptestraat,4,1,3,420000,0,0,0,0,0,GOOD,1,270,0,497,175,497,
56,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/20321671,3,HOUSE,HOUSE,MECHELEN,2800,Nekkerspoelstraat,100,1,2,209000,0,0,0,0,0,TO_RENOVATE,1,28,0,135,132,135,
55,https://www.immoweb.be/en/classified/house/for-sale/brakel/9660/20322486,3,HOUSE,HOUSE,Brakel,9660,Ronsesestraat,65,0,,160000,0,0,0,0,0,TO_RENOVATE,0,0,0,337,138,337,
59,https://www.immoweb.be/en/classified/house/for-sale/putte/2580/20321460,3,HOUSE,HOUSE,Putte,2580,Eksterstraat,2D,1,,328000,0,1,,0,0,TO_RENOVATE,0,0,0,454,212,454,
57,https://www.immoweb.be/en/classified/apartment/for-sale/drogenbos/1620/20320943,2,APARTMENT,APARTMENT,Drogenbos,1620,Avenue Paul Gilson,383,1,3,245000,0,1,3,0,0,TO_BE_DONE_UP,0,0,0,,76,,
60,https://www.immoweb.be/en/classified/house/for-sale/kortrijk/8500/20315988,3,HOUSE,HOUSE,Kortrijk,8500,Oudenaardsesteenweg,357,1,2,164500,0,1,20,0,0,GOOD,1,40,0,94,120,94,
58,https://www.immoweb.be/en/classified/apartment/for-sale/burcht/2070/20320376,1,APARTMENT,APARTMENT,Burcht,2070,Dorpstraat,70,0,,255000,0,0,0,0,0,JUST_RENOVATED,0,0,0,,92,,
62,https://www.immoweb.be/en/classified/house/for-sale/sprimont/4140/20312392,2,HOUSE,HOUSE,Sprimont,4140,Rue de Chanxhe,2,1,3,215000,0,1,30,0,0,GOOD,1,1127,0,1300,164,1300,
63,https://www.immoweb.be/en/classified/house/for-sale/hoboken/2660/20315649,3,HOUSE,HOUSE,HOBOKEN,2660,Sint-Bernardsesteenweg,1132,1,3,359000,0,1,22,0,0,AS_NEW,1,39,0,136,148,136,
61,https://www.immoweb.be/en/classified/house/for-sale/oosterzele/9860/20316952,3,HOUSE,HOUSE,Oosterzele,9860,Streekt,31,0,3,199000,0,1,,0,0,TO_BE_DONE_UP,0,0,0,553,204,553,
64,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/waremme/4300/20321008,2,HOUSE,MIXED_USE_BUILDING,Waremme,4300,Rue Hubert Stiernet,30,1,2,250000,0,0,0,0,0,GOOD,0,0,0,376,411,376,
65,https://www.immoweb.be/en/classified/house/for-sale/drongen/9031/20319713,4,HOUSE,HOUSE,Drongen,9031,Varendrieskouter,24,0,4,275000,0,0,0,0,0,TO_RENOVATE,1,407,0,407,117,407,
67,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/geraardsbergen/9500/20317868,3,HOUSE,MIXED_USE_BUILDING,GERAARDSBERGEN,9500,Pirrestraat,17,1,2,299999,0,1,,0,0,GOOD,1,895,0,1050,167,1050,
66,https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/20321730,3,HOUSE,HOUSE,Anderlecht,1070,Boulevard Jules Graindor,46,1,2,399000,0,1,48,0,0,TO_RENOVATE,1,100,0,180,185,180,
68,https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/20317872,3,HOUSE,HOUSE,GERAARDSBERGEN,9500,Pirrestraat,17,1,2,299999,0,1,,0,0,GOOD,1,895,0,1050,167,1050,
69,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20315674,4,HOUSE,HOUSE,Uccle,1180,Kinsendaelstraat,16,1,2,595000,0,1,15,0,0,GOOD,1,30,0,110,171,110,
72,https://www.immoweb.be/en/classified/apartment-block/for-sale/schaerbeek/1030/20313339,5,HOUSE,APARTMENT_BLOCK,Schaerbeek,1030,Rue Van Droogenbroeck,22,1,2,375000,0,1,10,0,0,TO_BE_DONE_UP,1,30,0,100,200,100,
73,https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/20313336,5,HOUSE,HOUSE,Schaerbeek,1030,Rue Van Droogenbroeck,22,1,2,375000,0,1,10,0,0,TO_BE_DONE_UP,1,30,0,100,200,100,
71,https://www.immoweb.be/en/classified/house/for-sale/flemalle/4400/20316175,3,HOUSE,HOUSE,Flémalle,4400,Rue du Village,71,1,2,265000,1,1,10,0,0,AS_NEW,1,50,0,145,135,145,
70,https://www.immoweb.be/en/classified/villa/for-sale/herentals/2200/20320828,3,HOUSE,VILLA,Herentals,2200,Voortkapelseweg,81,1,4,649000,0,1,,1,1,GOOD,0,0,0,1090,332,1090,
74,https://www.immoweb.be/en/classified/mansion/for-sale/houtaing/7812/20316523,5,HOUSE,MANSION,HOUTAING,7812,Rue d'Houtaing,27,1,4,499000,0,1,40,0,0,GOOD,1,515,1,891,321,891,
76,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20321789,1,APARTMENT,APARTMENT,GENT,9000,Johannes Schrantstraat,209,1,,175000,0,1,6,0,0,GOOD,0,0,0,,35,,
75,https://www.immoweb.be/en/classified/mansion/for-sale/ronse/9600/20317278,5,HOUSE,MANSION,RONSE,9600,Ninovestraat,131,1,4,695000,0,1,,0,0,AS_NEW,0,0,0,1919,428,1919,
77,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/20318921,2,APARTMENT,APARTMENT,Deinze,9800,Gentpoortstraat,66,1,,215000,0,1,,0,0,TO_RENOVATE,0,0,0,,99,,
78,https://www.immoweb.be/en/classified/apartment/for-sale/rumst/2840/20321298,2,APARTMENT,APARTMENT,Rumst,2840,Molenbergstraat,33,1,,249500,0,1,37,0,0,GOOD,0,0,0,,115,,
79,https://www.immoweb.be/en/classified/apartment/for-sale/sint-niklaas/9100/20322401,3,APARTMENT,APARTMENT,Sint-Niklaas,9100,Heidebloemstraat,109,1,,265000,0,1,,0,0,JUST_RENOVATED,0,0,0,,108,,
80,https://www.immoweb.be/en/classified/apartment/for-sale/aalst-9300/9300/20318953,2,APARTMENT,APARTMENT,Aalst (9300),9300,Leuvestraat,39,1,,269000,0,1,5,0,0,GOOD,0,0,0,,91,,
81,https://www.immoweb.be/en/classified/apartment/for-sale/erembodegem/9320/20318983,2,APARTMENT,APARTMENT,Erembodegem,9320,Leuvestraat,39,1,,269000,0,1,5,0,0,GOOD,0,0,0,,91,,
82,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20320358,2,APARTMENT,APARTMENT,Gent,9000,Ferdinand Lousbergskaai,112,0,,340000,0,1,,0,0,GOOD,0,0,0,,72,,
84,https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20318967,2,APARTMENT,APARTMENT,Knokke,8300,Lippenslaan,179,1,,699000,1,1,7,0,0,GOOD,0,0,0,,102,,
83,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20320124,2,APARTMENT,APARTMENT,Oostende,8400,Van Iseghemlaan,11,1,,359000,0,1,,0,0,JUST_RENOVATED,0,0,0,,89,,
86,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-zoute/8300/20318981,3,APARTMENT,APARTMENT,Knokke-Zoute,8300,Zeedijk,795,1,2,3850000,0,1,,0,0,GOOD,0,0,0,,182,,
85,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-zoute/8300/20321829,3,APARTMENT,APARTMENT,Knokke-Zoute,8300,Hazenpad,1,1,3,1370000,1,1,,0,0,JUST_RENOVATED,0,0,0,,110,,
88,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/20320995,3,HOUSE,HOUSE,Ronse,9600,Constantin Meunierstraat,44,0,,315000,0,1,20,0,0,GOOD,1,320,0,393,195,393,
87,https://www.immoweb.be/en/classified/house/for-sale/kessel-lo/3010/20322438,3,HOUSE,HOUSE,Kessel-Lo,3010,Holsbeeksesteenweg,138,1,,299000,0,1,,0,0,TO_RENOVATE,0,0,0,193,204,193,
89,https://www.immoweb.be/en/classified/house/for-sale/duffel/2570/20320972,4,HOUSE,HOUSE,Duffel,2570,Kiliaanstraat,70,0,2,345000,0,1,10,0,0,GOOD,0,0,0,175,160,175,
90,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20315550,3,HOUSE,HOUSE,Gent,9000,Frank Baurstraat,44,1,2,375000,0,0,0,0,0,TO_BE_DONE_UP,1,56,0,110,123,110,
91,https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2170/20317611,3,HOUSE,HOUSE,Antwerpen,2170,Van Heybeeckstraat,14,1,2,379000,0,0,0,0,0,GOOD,1,33,0,80,140,80,
94,https://www.immoweb.be/en/classified/house/for-sale/sint-amandsberg/9040/20317406,4,HOUSE,HOUSE,Sint-Amandsberg,9040,Herlegemstraat,26,0,,428000,0,1,,0,0,TO_BE_DONE_UP,0,0,0,170,185,170,
92,https://www.immoweb.be/en/classified/house/for-sale/grez-doiceau/1390/20321339,4,HOUSE,HOUSE,GREZ-DOICEAU,1390,Rue du Tilleul,23,1,4,399000,0,1,25,1,1,TO_RENOVATE,1,1219,0,1219,200,1219,
93,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20317410,4,HOUSE,HOUSE,Gent,9000,Herlegemstraat,26,0,,428000,0,1,,0,0,TO_BE_DONE_UP,0,0,0,170,185,170,
96,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20318382,3,APARTMENT,APARTMENT,Uccle,1180,Avenue Coghen,278,1,3,475000,0,1,8,0,0,TO_BE_DONE_UP,0,0,0,,139,,
97,https://www.immoweb.be/en/classified/loft/for-sale/gent/9000/20316654,1,APARTMENT,LOFT,Gent,9000,Dublinstraat,37,0,,745000,0,1,30,0,0,AS_NEW,0,0,0,,152,,
95,https://www.immoweb.be/en/classified/house/for-sale/destelbergen/9070/20317404,4,HOUSE,HOUSE,Destelbergen,9070,Herlegemstraat,26,0,,428000,0,1,,0,0,TO_BE_DONE_UP,0,0,0,170,185,170,
99,https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20309857,2,APARTMENT,APARTMENT,BERCHEM,2600,Fruithoflaan,8,1,,249000,0,1,10,0,0,TO_RENOVATE,0,0,0,,100,,
98,https://www.immoweb.be/en/classified/villa/for-sale/muizen/2812/20319783,5,HOUSE,VILLA,MUIZEN,2812,Leuvensesteenweg,590 B,1,4,883000,0,1,20,1,1,GOOD,1,423,0,3355,320,3355,
102,https://www.immoweb.be/en/classified/house/for-sale/kortrijk/8500/20316538,3,HOUSE,HOUSE,Kortrijk,8500,Brugsesteenweg,211,1,2,289500,0,1,,0,0,GOOD,0,0,0,120,150,120,
101,https://www.immoweb.be/en/classified/house/for-sale/herselt/2230/20308544,3,HOUSE,HOUSE,HERSELT,2230,Steenakkers,11,1,4,584000,0,1,,0,0,GOOD,0,0,0,1050,245,1050,
100,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20309137,2,APARTMENT,APARTMENT,Oostende,8400,Vissersplein,2,0,,419000,0,1,14,0,0,GOOD,0,0,0,,105,,
104,https://www.immoweb.be/en/classified/house/for-sale/aalst-9300/9300/20313514,5,HOUSE,HOUSE,Aalst (9300),9300,Putstraat,129,1,,749000,0,1,,0,0,GOOD,0,0,0,1529,410,1529,
105,https://www.immoweb.be/en/classified/house/for-sale/meldert-9310/9310/20313520,5,HOUSE,HOUSE,Meldert (9310),9310,Putstraat,129,1,,749000,0,1,,0,0,GOOD,0,0,0,1529,410,1529,
103,https://www.immoweb.be/en/classified/house/for-sale/asse/1730/20313582,5,HOUSE,HOUSE,Asse,1730,Putstraat,129,1,,749000,0,1,,0,0,GOOD,0,0,0,1529,410,1529,
106,https://www.immoweb.be/en/classified/apartment-block/for-sale/saint-gilles/1060/20313353,5,HOUSE,APARTMENT_BLOCK,Saint-Gilles,1060,Rue de Moscou,44,1,2,795000,0,1,,0,0,AS_NEW,0,0,0,60,280,60,
109,https://www.immoweb.be/en/classified/mansion/for-sale/ronse/9600/20309994,3,HOUSE,MANSION,Ronse,9600,Savooistraat,168,1,4,580000,0,1,,0,0,GOOD,0,0,0,5219,210,5219,
108,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2060/20309142,2,APARTMENT,APARTMENT,ANTWERPEN,2060,Lange Dijkstraat,9,1,2,279500,0,1,30,0,0,GOOD,0,0,0,,92,,
107,https://www.immoweb.be/en/classified/apartment/for-sale/hoevenen/2940/20307431,2,APARTMENT,APARTMENT,Hoevenen,2940,Olmenlaan,23.GLV,1,,257000,0,1,50,0,0,GOOD,0,0,0,,80,,
110,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20312280,2,APARTMENT,APARTMENT,Uccle,1180,Avenue du Lycée Français,8,1,3,310000,0,1,12,0,0,TO_RENOVATE,0,0,0,,98,,
111,https://www.immoweb.be/en/classified/house/for-sale/tielt-8700/8700/20318935,2,HOUSE,HOUSE,Tielt (8700),8700,Bruggestraat,79,1,,235000,0,1,,0,0,GOOD,0,0,0,123,111,123,
112,https://www.immoweb.be/en/classified/house/for-sale/eeklo/9900/20319620,2,HOUSE,HOUSE,Eeklo,9900,Euromarktstraat,6,1,,320000,0,0,0,0,0,GOOD,0,0,0,512,165,512,
114,https://www.immoweb.be/en/classified/house/for-sale/oostakker/9041/20317906,3,HOUSE,HOUSE,Oostakker,9041,Honoré Drubbelstraat,46,1,,349000,0,1,,0,0,TO_RENOVATE,0,0,0,402,155,402,
115,https://www.immoweb.be/en/classified/house/for-sale/asper/9890/20322381,3,HOUSE,HOUSE,Asper,9890,Steenweg,130,0,,389000,0,0,0,0,0,JUST_RENOVATED,1,178,0,493,262,493,
116,https://www.immoweb.be/en/classified/villa/for-sale/roesbrugge-haringe/8972/20321322,4,HOUSE,VILLA,Roesbrugge-Haringe,8972,Prof.Rubbrechtstraat,70c,1,,395000,0,1,,0,0,GOOD,0,0,0,927,227,927,
117,https://www.immoweb.be/en/classified/villa/for-sale/wemmel/1780/20322792,4,HOUSE,VILLA,Wemmel,1780,Dijck,14,1,4,649000,0,1,,0,0,TO_BE_DONE_UP,1,350,0,654,253,654,
118,https://www.immoweb.be/en/classified/house/for-sale/oosterzele/9860/20322804,4,HOUSE,HOUSE,Oosterzele,9860,Meerstraat,47a,1,3,895000,0,1,,0,0,AS_NEW,0,0,1,4844,205,4844,
119,https://www.immoweb.be/en/classified/house/for-sale/tielt-8700/8700/20322489,6,HOUSE,HOUSE,Tielt (8700),8700,Deken Darraslaan,9,1,,1650000,0,0,0,0,0,GOOD,0,0,1,2723,493,2723,
120,https://www.immoweb.be/en/classified/country-cottage/for-sale/kuurne/8520/20311372,4,HOUSE,COUNTRY_COTTAGE,KUURNE,8520,Sint-Katriensteenweg,115,1,4,735000,0,1,,0,0,TO_RENOVATE,0,0,0,12518,250,12518,
121,https://www.immoweb.be/en/classified/apartment/for-sale/gent-sint-amandsberg/9040/20311355,2,APARTMENT,APARTMENT,Gent Sint-Amandsberg,9040,Heiveldstraat,237,1,3,325000,0,1,12,0,0,AS_NEW,0,0,0,,126,,
123,https://www.immoweb.be/en/classified/villa/for-sale/mechelen/2800/20296299,2,HOUSE,VILLA,MECHELEN,2800,LIERSESTEENWEG,460,1,4,845000,0,1,20,0,0,GOOD,1,1488,0,8500,318,8500,
