house_index,bedrooms,property_type,property_subtype,locality,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale
129,4,HOUSE,HOUSE,Auderghem,HYPER_EQUIPPED,2,649000,False,True,15,False,,GOOD,True,87,False,175,170,175,
132,2,HOUSE,COUNTRY_COTTAGE,BLICQUY,INSTALLED,,275000,,True,,False,,GOOD,,,,690,200,690,
134,4,HOUSE,HOUSE,Sint-Amandsberg,HYPER_EQUIPPED,,775000,,True,,False,,GOOD,True,42,,120,217,120,
135,1,APARTMENT,APARTMENT,Aalter,INSTALLED,,319200,False,True,27,False,,GOOD,,,,,99,,NewlyBuilt
133,3,HOUSE,HOUSE,Waarschoot,INSTALLED,,360000,False,,,False,,JUST_RENOVATED,,,,260,136,260,
136,1,APARTMENT,APARTMENT,Aalter,INSTALLED,,319200,False,True,27,False,,GOOD,,,,,99,,NewlyBuilt
138,3,APARTMENT,APARTMENT,Kruisem,INSTALLED,,344990,,True,23,False,,GOOD,True,189,,,120,,NewlyBuilt
137,3,APARTMENT,APARTMENT,Zingem,INSTALLED,,344990,,True,22,False,,GOOD,True,188,,,120,,NewlyBuilt
139,3,APARTMENT,APARTMENT,Kruisem,INSTALLED,,344990,,True,23,False,,GOOD,True,189,,,120,,NewlyBuilt
141,2,APARTMENT,APARTMENT,Gent,INSTALLED,2,325000,False,True,8,False,,GOOD,,,False,,106,,
140,2,APARTMENT,APARTMENT,EREMBODEGEM,,2,199000,,True,,False,,GOOD,,,,,91,,
142,3,HOUSE,TOWN_HOUSE,Jette,INSTALLED,2,399000,False,True,10,False,,GOOD,,,False,65,203,65,
144,4,HOUSE,HOUSE,Liège,NOT_INSTALLED,2,275000,False,True,5,False,,TO_RENOVATE,True,100,False,192,207,192,
143,3,HOUSE,HOUSE,Duffel,INSTALLED,3,438000,,True,40,False,,GOOD,True,400,,722,168,722,
145,2,APARTMENT,APARTMENT,ANTWERPEN,INSTALLED,2,319000,,True,3,False,,GOOD,,,,,,,
146,3,HOUSE,HOUSE,ANZEGEM,USA_SEMI_EQUIPPED,3,325000,,True,15,False,,GOOD,True,125,,196,140,196,
147,2,APARTMENT,APARTMENT,Bruxelles,HYPER_EQUIPPED,2,395000,False,True,8,False,,GOOD,,,,,95,,
148,3,HOUSE,HOUSE,Gent Drongen,INSTALLED,2,395000,False,True,,False,,TO_RENOVATE,,,False,111,140,111,
150,7,HOUSE,HOUSE,Gent,HYPER_EQUIPPED,2,495000,False,True,21,False,,GOOD,,,False,151,340,151,
149,3,HOUSE,HOUSE,Hoeilaart,NOT_INSTALLED,4,469000,False,True,17,False,,TO_RENOVATE,,,False,1360,173,1360,
153,5,HOUSE,EXCEPTIONAL_PROPERTY,Waremme,INSTALLED,4,850000,False,True,250,False,,GOOD,True,3000,True,4788,365,4788,
151,3,HOUSE,HOUSE,Merelbeke,,,669000,False,,,False,,GOOD,,,,823,240,823,
152,5,HOUSE,VILLA,Houthulst,INSTALLED,,750000,False,True,,False,,GOOD,,,,12821,575,12821,
154,5,HOUSE,EXCEPTIONAL_PROPERTY,Remicourt,INSTALLED,4,850000,False,True,250,False,,GOOD,True,3000,True,4788,365,4788,
155,4,HOUSE,HOUSE,WOLUWE-SAINT-PIERRE,INSTALLED,3,1195000,,,,True,1,JUST_RENOVATED,True,250,,428,303,428,
158,2,APARTMENT,KOT,ANTWERPEN,INSTALLED,2,235000,,,,False,,JUST_RENOVATED,,,,,53,,
157,3,HOUSE,HOUSE,Aubange Athus,,4,430000,,True,60,False,,GOOD,True,750,,872,160,872,UnderOption
156,4,HOUSE,HOUSE,Arlon,SEMI_EQUIPPED,4,395000,,True,20,False,,TO_BE_DONE_UP,True,1200,,1396,150,1396,
159,2,APARTMENT,APARTMENT,Lembeke,INSTALLED,,365000,False,True,14,False,,JUST_RENOVATED,,,,,107,,
161,3,APARTMENT,APARTMENT,HALLE,INSTALLED,3,385000,,True,6,False,,JUST_RENOVATED,,,,,126,,
160,3,APARTMENT,DUPLEX,HALLE,INSTALLED,3,385000,,True,6,False,,JUST_RENOVATED,,,,,126,,
163,4,HOUSE,VILLA,Aalbeke,,,975000,,,,False,,AS_NEW,,,,1250,312,1250,
162,3,HOUSE,HOUSE,Liège,INSTALLED,2,220000,False,True,22,False,,GOOD,True,70,False,160,100,160,
166,4,HOUSE,HOUSE,Kalmthout,INSTALLED,,349000,,,,False,,TO_RENOVATE,True,476,,476,169,476,
165,6,HOUSE,HOUSE,Seraing,INSTALLED,2,199900,False,True,28,False,,TO_BE_DONE_UP,True,136,False,220,217,220,
164,5,HOUSE,EXCEPTIONAL_PROPERTY,AALST,INSTALLED,2,1350000,,,,False,,GOOD,,,,590,992,590,
167,6,HOUSE,EXCEPTIONAL_PROPERTY,Arlon (Bonnert),HYPER_EQUIPPED,3,649000,,True,,False,,AS_NEW,True,439,,554,204,554,UnderOption
169,3,APARTMENT,APARTMENT,BASTOGNE,INSTALLED,3,345000,,,,False,,GOOD,,,,,125,,
168,4,HOUSE,HOUSE,Kontich,HYPER_EQUIPPED,3,759000,False,,,False,,GOOD,,,,457,240,457,
170,2,APARTMENT,APARTMENT,Uccle,USA_HYPER_EQUIPPED,2,460000,,,,True,1,GOOD,True,25,False,,141,,UnderOption
171,3,HOUSE,HOUSE,MECHELEN,INSTALLED,4,599000,,True,23,False,,JUST_RENOVATED,True,115,,355,169,355,
174,4,APARTMENT,APARTMENT,Woluwe-Saint-Pierre,HYPER_EQUIPPED,3,885000,False,True,14,False,,GOOD,,,False,,200,,
172,3,HOUSE,HOUSE,HOMBEEK,INSTALLED,4,599000,,True,23,False,,JUST_RENOVATED,True,115,,355,169,355,
173,4,HOUSE,HOUSE,Zottegem,,3,469000,False,True,,False,,GOOD,,,,1270,236,1270,
175,1,APARTMENT,APARTMENT,Aalst (9300),,2,124999,False,,,False,,GOOD,,,,,48,,
177,2,APARTMENT,APARTMENT,MORTSEL,INSTALLED,,259000,,True,6,False,,JUST_RENOVATED,,,,,98,,
176,2,APARTMENT,APARTMENT,Roeselare,INSTALLED,,229000,,,,False,,GOOD,,,,,104,,
179,2,APARTMENT,APARTMENT,MORTSEL,INSTALLED,,295000,,True,5,False,,JUST_RENOVATED,,,,,98,,
178,3,HOUSE,HOUSE,Ronse,INSTALLED,,269000,,True,18,False,,GOOD,True,90,,165,236,165,
182,2,APARTMENT,APARTMENT,Schaerbeek,HYPER_EQUIPPED,,299000,False,True,5,False,,AS_NEW,,,False,,107,,NewlyBuilt
181,1,APARTMENT,APARTMENT,SOIGNIES,INSTALLED,4,228000,,True,12,False,,,,,,,75,,NewlyBuilt
183,4,APARTMENT,DUPLEX,Saint-Nicolas,INSTALLED,3,319000,False,,,False,,GOOD,,,False,,145,,
180,4,HOUSE,HOUSE,Uccle,HYPER_EQUIPPED,4,1350000,False,True,40,False,,AS_NEW,True,373,False,706,276,706,
184,3,APARTMENT,APARTMENT,Blankenberge,,,469000,,,,False,,JUST_RENOVATED,,,,,140,,
187,2,APARTMENT,APARTMENT,Berchem,SEMI_EQUIPPED,3,265000,,True,,False,,GOOD,,,,,94,,
186,1,APARTMENT,APARTMENT,Ruisbroek (2870),,,189000,,,,False,,GOOD,,,,,57,,
189,1,APARTMENT,APARTMENT,Bonheiden,,,325000,,True,,False,,GOOD,,,,,79,,
188,2,APARTMENT,APARTMENT,NINOVE,SEMI_EQUIPPED,2,309000,,True,6,False,,JUST_RENOVATED,,,,,81,,
191,3,HOUSE,HOUSE,Hombeek,INSTALLED,,399000,,,,False,,TO_RENOVATE,True,400,,848,240,848,
185,,,,,,,,,,,,,,,,,,,,
192,3,HOUSE,HOUSE,ZEMST,INSTALLED,3,576000,,True,20,False,,GOOD,True,120,,300,204,300,
193,2,APARTMENT,APARTMENT,Borsbeek,INSTALLED,,209000,,True,1,False,,GOOD,,,,,99,,
190,2,HOUSE,HOUSE,ANS,SEMI_EQUIPPED,3,265000,,,,True,1,TO_BE_DONE_UP,True,240,,405,114,405,
195,2,APARTMENT,APARTMENT,ANTWERPEN,INSTALLED,2,214900,,,,False,,GOOD,,,,,82,,
194,2,APARTMENT,APARTMENT,Wommelgem,INSTALLED,,209000,,True,1,False,,GOOD,,,,,99,,
196,2,APARTMENT,APARTMENT,ANTWERPEN,INSTALLED,2,219900,,,,False,,GOOD,,,,,82,,
198,1,APARTMENT,APARTMENT,Bruxelles,INSTALLED,2,285000,False,,,False,,GOOD,,,False,,79,,
197,2,APARTMENT,APARTMENT,ANTWERPEN,INSTALLED,2,219900,,,,False,,GOOD,,,,,82,,
199,1,APARTMENT,APARTMENT,Bruxelles,INSTALLED,2,285000,False,,,False,,AS_NEW,,,False,,79,,
200,3,APARTMENT,APARTMENT,Mortsel,,,369000,False,True,9,False,,GOOD,,,,,130,,
204,3,HOUSE,HOUSE,"Libin, Ochamps",SEMI_EQUIPPED,2,189000,False,True,10,False,,GOOD,True,600,False,708,102,708,
202,4,HOUSE,HOUSE,Huy,,2,69000,False,,,False,,,,,False,40,145,40,
203,2,HOUSE,HOUSE,Eeklo,INSTALLED,,165000,False,,,False,,GOOD,,,,82,82,82,
201,3,APARTMENT,APARTMENT,Stabroek,INSTALLED,,399000,,True,8,False,,GOOD,,,,,130,,
205,2,HOUSE,HOUSE,Jemeppe,,3,245000,False,True,25,False,,,True,100,False,224,100,224,
207,3,HOUSE,MIXED_USE_BUILDING,Gent,,,340000,,True,,False,,JUST_RENOVATED,,,,120,111,120,
206,3,HOUSE,HOUSE,INGELMUNSTER,SEMI_EQUIPPED,3,285000,,True,,False,,TO_BE_DONE_UP,,,True,925,150,925,
208,3,HOUSE,HOUSE,Herk-de-Stad,INSTALLED,,366000,,,,False,,,True,330,,680,174,680,
210,3,HOUSE,MIXED_USE_BUILDING,Grâce-Hollogne,INSTALLED,2,229000,False,True,8,False,,AS_NEW,True,95,False,221,149,221,
211,3,HOUSE,HOUSE,Berlaar,INSTALLED,,269000,,True,,False,,TO_BE_DONE_UP,,,,316,177,316,
212,3,HOUSE,HOUSE,LIEDEKERKE,INSTALLED,2,299000,,,,False,,GOOD,,,,151,118,151,
209,2,HOUSE,MANSION,Ronse,HYPER_EQUIPPED,,385000,,,,False,,JUST_RENOVATED,,,,180,230,180,
216,2,APARTMENT,APARTMENT,Lede,SEMI_EQUIPPED,,245000,False,,,False,,GOOD,True,80,False,,123,,
213,3,HOUSE,VILLA,HOBOKEN,INSTALLED,4,749000,,,,False,,AS_NEW,True,480,,963,300,963,
214,3,HOUSE,HOUSE,Schaerbeek,HYPER_EQUIPPED,2,495000,False,True,34,False,,AS_NEW,True,12,False,100,120,100,UnderOption
215,5,HOUSE,HOUSE,Woluwe-Saint-Pierre,NOT_INSTALLED,2,575000,False,True,30,False,,TO_RENOVATE,True,60,False,137,177,137,UnderOption
218,2,HOUSE,HOUSE,Anseroeul,INSTALLED,3,249000,,True,,False,,,,,,770,150,770,
217,1,HOUSE,HOUSE,Zottegem,,,245000,,,,False,,TO_RENOVATE,,,,535,140,535,
219,3,HOUSE,HOUSE,Brugge,INSTALLED,,250000,False,,,False,,GOOD,,,,156,129,156,
220,2,HOUSE,HOUSE,Zottegem,,,320000,,True,,False,,GOOD,,,,270,153,270,
223,3,HOUSE,HOUSE,Uccle,INSTALLED,2,595000,,True,10,False,,TO_RENOVATE,True,20,False,0,210,0,
224,4,HOUSE,VILLA,Zottegem,,,675000,,,,False,,GOOD,,,True,1273,220,1273,
